icao24,callsign,origin_country,longitude,latitude,baro_altitude,true_track,velocity_kmh,origin_country
39de44,TVF64LR ,France,27.3116,42.0251,10363.2,299.83,815.4720000000001,France
3c6668,DLH692  ,Germany,26.4704,37.7668,11269.98,137.35,861.12,Germany
511187,MBU3BP  ,Estonia,-0.4988,46.844,10980.42,45.69,869.616,Estonia
80166a,AKJ1141 ,India,83.9794,22.0738,10972.8,256.78,753.336,India
ab0356,ASA1354 ,United States,-94.3513,17.8771,10363.2,315.59,891.864,United States
8a02d3,GIA860  ,Indonesia,103.8886,2.2124,9753.6,354.46,844.74,Indonesia
ae26bd,C6606   ,United States,-81.3682,30.4874,1013.46,0.0,274.104,United States
a90385,N680DC  ,United States,-83.3646,27.8443,8420.1,178.91,872.46,United States
511189,MBU6509 ,Estonia,2.8032,50.2895,10972.8,32.97,860.94,Estonia
a58e13,N457WB  ,United States,-78.4456,30.6296,11269.98,6.57,777.384,United States
abacd2,UAL1109 ,United States,-108.3455,46.0221,10363.2,279.13,735.3000000000001,United States
4952b2,TAP029  ,Portugal,-10.4288,37.0898,8961.12,216.34,878.2560000000001,Portugal
4acb03,NSZ45F  ,Sweden,21.5052,64.5294,6271.26,22.94,655.6320000000001,Sweden
ad4f72,JBU172  ,United States,-86.5753,21.4648,4335.78,346.56,693.1080000000001,United States
a47597,DAL1112 ,United States,-90.48,30.0443,1135.38,104.86,375.55199999999996,United States
a830f2,N627HE  ,United States,-82.4784,30.7825,4053.84,172.23,328.968,United States
3c664d,DLH66U  ,Germany,9.1282,50.0384,1920.24,358.82,450.144,Germany
ad564c,N959CD  ,United States,-83.1574,32.9767,3322.32,170.06,289.54800000000006,United States
4bc8c8,PGT1136 ,Turkey,24.4111,42.5854,10675.62,108.59,842.184,Turkey
51116f,MBU6CQ  ,Estonia,-3.1061,45.192,10972.8,36.3,857.16,Estonia
4bc8c9,PGT2734 ,Turkey,31.1657,40.3945,9761.22,107.38,861.624,Turkey
a4d824,N411DB  ,United States,-94.8853,40.8097,9144.0,200.93,497.7,United States
40814a,AUR610A ,United Kingdom,-2.4,49.5204,2339.34,36.66,307.08,United Kingdom
e49443,AZU4010 ,Brazil,-45.8142,-22.9198,8542.02,113.42,875.952,Brazil
a4d826,N411DD  ,United States,-73.1429,41.1521,7.62,91.66,127.836,United States
e49445,AZU6030 ,Brazil,-47.0191,-24.0806,5859.78,212.28,648.432,Brazil
4bc8c2,PGT28AZ ,Turkey,35.2028,41.197,9639.3,267.93,769.068,Turkey
4bc8c3,PGT12RF ,Turkey,16.3725,45.874,11277.6,119.83,885.9960000000001,Turkey
ab0361,AAL1781 ,United States,-94.4236,36.1508,11285.22,35.65,902.484,United States
a7bc8e,EJA598  ,United States,-78.4146,30.7668,11887.2,6.07,735.66,United States
4952a7,TAP2545 ,Portugal,-43.196,-22.3752,3550.92,241.46,624.024,Portugal
ace6c7,N930ML  ,United States,-119.4822,45.5844,8839.2,121.5,645.12,United States
e8024d,ARE4154 ,Chile,-73.6653,6.3705,10279.38,3.06,866.124,Chile
4952a8,TAP67AM ,Portugal,2.3746,50.0663,11955.78,34.62,886.6800000000001,Portugal
e8024c,ARE4102 ,Chile,-74.1269,4.8966,4351.02,342.01,527.6880000000001,Chile
a17711,N194AK  ,United States,-105.1096,39.9155,1752.6,214.22,111.996,United States
a4d82c,N411DK  ,United States,-111.4255,33.5991,1554.48,130.88,164.12400000000002,United States
511171,MBU4WX  ,Estonia,-6.2079,40.9851,10972.8,28.27,836.892,Estonia
e4944f,TAM3491 ,Brazil,-34.9304,-8.319,1043.94,70.4,375.48,Brazil
abb3be,DAL177  ,United States,-82.0463,35.6309,11460.48,224.22,863.0640000000001,United States
ac96fe,N910DH  ,United States,-105.86,38.0488,7315.2,300.17,434.84400000000005,United States
4952a5,,Portugal,-14.4087,30.9117,10668.0,205.49,882.216,Portugal
ad563d,TYSON58 ,United States,-72.0704,42.2935,6842.76,254.91,661.752,United States
